State,Avg_Pop_Growth_%
Florida,2.0
Idaho,2.0
Texas,1.71
South Carolina,1.65
Utah,1.63
Delaware,1.48
North Carolina,1.4
Arizona,1.34
Nevada,1.18
District of Columbia,1.15
Montana,1.13
Tennessee,1.07
Georgia,1.02
South Dakota,1.02
Oklahoma,0.81
Washington,0.74
Maine,0.73
Colorado,0.72
Connecticut,0.66
New Jersey,0.61
Alabama,0.61
Arkansas,0.61
New Hampshire,0.55
North Dakota,0.54
Nebraska,0.53
Massachusetts,0.5
Virginia,0.5
Indiana,0.49
Kentucky,0.44
Wyoming,0.43
Iowa,0.39
Missouri,0.36
Rhode Island,0.36
Minnesota,0.36
Maryland,0.34
Kansas,0.28
Wisconsin,0.27
Alaska,0.24
Vermont,0.22
Ohio,0.18
Oregon,0.17
Michigan,0.17
Pennsylvania,0.16
New Mexico,0.14
California,-0.06
Hawaii,-0.09
Mississippi,-0.13
Illinois,-0.17
Louisiana,-0.29
New York,-0.3
West Virginia,-0.3
Puerto Rico,-0.6
