state,city,n_listings,avg_ppsf_city
California,Carpinteria,32,2928.5967789222805
California,Atherton,51,2590.1013837598716
New York,Sagaponack,31,2554.047293531083
California,Malibu,262,2148.983900538918
Florida,Palm Beach,274,2129.859123539735
Colorado,Aspen,138,1987.9900391987492
New York,Amagansett,47,1971.2579386332216
Colorado,Vail,139,1927.8798563896244
Colorado,Telluride,57,1888.47380344263
California,Corona Del Mar,161,1853.460062114622
Massachusetts,Nantucket,69,1827.3922839522072
California,Beverly Hills,401,1765.637132154348
Florida,Anna Maria,59,1738.6843062552484
New York,New York,3108,1737.8399533131808
Florida,Alys Beach,35,1719.003339224526
California,Laguna Beach,250,1705.7132808968795
Washington,Medina,27,1686.9919176130827
Hawaii,Kilauea,22,1678.788903693501
California,Pebble Beach,62,1671.4425550707213
California,Woodside,59,1655.2480632237146
California,Palo Alto,355,1650.7149104591065
California,Los Altos Hills,56,1616.1307364586178
New York,Manhattan,383,1606.4688259053194
New York,Bridgehampton,59,1604.8357494433033
California,Manhattan Beach,181,1602.6224720433663
Colorado,Snowmass Village,138,1589.4285675094188
California,Newport Coast,97,1580.082339192979
California,Los Altos,169,1578.5489038570786
Wyoming,Jackson,71,1570.2284442212156
Florida,Boca Grande,58,1556.915792648547
New York,Montauk,49,1526.0941198001733
California,Del Mar,102,1515.3735868977674
California,Portola Valley,39,1492.345763965765
Florida,Captiva,32,1487.808150851656
California,Solana Beach,65,1473.9566071652648
California,Coronado,167,1443.3000577810303
Florida,Bal Harbour,162,1434.231324736853
New York,New York City,8177,1420.9143715669397
California,Tahoe City,27,1415.4210436637882
Hawaii,Haleiwa,21,1411.1503134747888
California,Menlo Park,258,1401.9950270396714
Colorado,Mountain Village,37,1399.1838846105138
California,Hermosa Beach,120,1399.0343133871575
Hawaii,Kahuku,22,1387.1534079355902
California,Monte Sereno,35,1382.4958832804496
California,Hillsborough,74,1380.894207382519
California,Carmel,222,1373.835887432757
California,Pacific Palisades,256,1373.5049532606513
Massachusetts,Edgartown,68,1369.7346821899198
Texas,Bertram,33,1367.1460531448158
