state,total_houses,avg_price,avg_ppsf
Hawaii,5470,1372428.1652650824,814.0547661117719
District of Columbia,6435,886523.6085470086,553.399500797374
California,197528,1074474.8631586407,545.9619054000161
New York,72870,987743.5860710855,487.7926427950957
Massachusetts,35723,746130.4907482574,383.91176314484505
Montana,6271,914500.2745973528,377.6596822860982
Colorado,25237,904885.4004437928,366.36103739718936
Washington,53497,702809.1304372208,359.51413714512194
Virgin Islands,209,1280597.5885167464,340.67376931948627
Utah,11263,902599.2522418539,335.80052073621755
Nevada,11602,738457.0173245992,322.99267147373826
Oregon,26629,614032.2830748432,318.6087564741724
Florida,188246,638699.4599144736,308.08399562590336
Idaho,12566,683369.4688842909,307.53886742232817
Wyoming,1880,751092.2765957447,291.9499955025339
Guam,266,532712.3571428572,291.61329678830396
Connecticut,12202,710145.9915587609,269.3185040405399
Rhode Island,7713,485470.5029171529,268.97882856850634
Arizona,57613,547876.3490184507,264.6925501577007
Maine,2525,502229.2174257426,262.4926179653979
New Hampshire,2391,583398.669594312,261.909599311372
New Jersey,24927,526163.9364945642,258.1778356561173
Alaska,969,495160.50464396283,239.91384353600156
Vermont,1644,556391.8083941606,238.8621163109205
Virginia,55390,522041.2777757718,234.56728620550476
Puerto Rico,2499,607002.2701080432,231.87720146020945
Maryland,40983,474147.40355757263,222.2784817472737
Tennessee,20560,485828.8665856031,218.4949864468852
South Carolina,23283,455628.1221775544,215.26999516912426
North Carolina,44152,429556.1806699583,206.84170444600417
South Dakota,2343,428955.65386256936,206.60422759737287
Delaware,7454,431197.8694660585,206.3077949555909
Texas,165452,449441.2044431618,197.01786131605448
New Mexico,12711,407375.6894028794,192.05313941891464
Georgia,55400,418442.26070397114,182.2111233195294
Illinois,64789,362410.20451002487,180.79273478890218
Minnesota,35803,397685.27966930147,176.77840904569334
Pennsylvania,61988,359048.1508840421,174.97298771330136
Wisconsin,20932,339572.42461303266,172.48370863592646
Michigan,27412,326908.60882095434,167.3538260462768
Alabama,21408,355326.04596412554,161.15903825353953
Iowa,18626,258490.79652099215,158.20396054888027
Nebraska,4674,321078.02845528454,152.88071254592833
Arkansas,12746,332574.92021026206,151.96141854093355
Missouri,33806,306326.5087854227,151.2270640134492
Louisiana,17194,324455.0644992439,149.82041114889054
Kentucky,18112,301827.33298365725,148.0307601460675
Indiana,13259,330508.08605475526,146.07214432485682
North Dakota,2557,321161.8529526789,141.50727126282445
Oklahoma,29461,286454.0150707715,139.76093187277564
Mississippi,8949,294103.8256788468,131.13659019485655
Kansas,12137,289421.42984263,129.1903582171951
West Virginia,8114,255632.84816366775,126.81957541255882
Ohio,47732,246753.5680465935,124.02031616893048
